Question,Answer,Notes
What is the author ID of Carolyn Rose?,35959897,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the H-index of Carolyn Rose?,54,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the semantic scholar author name of Carolyn Rose?,C. Rosé,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the semantic scholar url of Carolyn Rose?,https://www.semanticscholar.org/author/35959897,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the affiliation of Carolyn Rose?,"LTI (CMU), No other affiliations",##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the paper ID of the paper Exploring Artificial Intelligence in English Language Arts with StoryQ?,27ca2d927421035e10b48c96a96db32224f1f8e6,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What are the external IDs of the paper Exploring Artificial Intelligence in English Language Arts with StoryQ?,"{'DBLP': 'conf/aaai/ChaoEJRFTFW23', 'DOI': '10.1609/aaai.v37i13.26899', 'CorpusId': 259760182}",##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the URL of the paper Exploring Artificial Intelligence in English Language Arts with StoryQ?,https://www.semanticscholar.org/paper/27ca2d927421035e10b48c96a96db32224f1f8e6,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the abstract of the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,"Exploring Artificial Intelligence (AI) in English Language Arts (ELA) with StoryQ is a 10-hour curriculum module designed for high school ELA classes. The module introduces students to fundamental AI concepts and essential machine learning workflow using StoryQ, a web-based GUI environment for Grades 6-12 learners. In this module, students work with unstructured text data and learn to train, test, and improve text classification models such as intent recognition, clickbait filter, and sentiment analysis. As they interact with machine-learning language models deeply, students also gain a nuanced understanding of language and how to wield it, not just as a data structure, but as a tool in our human-human encounters as well. The current version contains eight lessons, all delivered through a full-featured online learning and teaching platform. Computers and Internet access are required to implement the module. The module was piloted in an ELA class in the Spring of 2022, and the student learning outcomes were positive. The module is currently undergoing revision and will be further tested and improved in Fall 2022.",##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
In which venue was the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ' published?,AAAI Conference on Artificial Intelligence,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
In what year was the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ' published?,2023,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
How many references are in the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,6,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
How many citations does the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ' have?,0,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the citation count of 'Exploring Artificial Intelligence in English Language Arts with StoryQ' have?,0,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
How many influential citations does the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ' have?,0,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
Is the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ' open access?,Yes,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the open access PDF URL of the paper titled 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,https://ojs.aaai.org/index.php/AAAI/article/download/26899/26671,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What are the fields of study for the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,Computer Science,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the journal name for the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,"AAAI Conference on Artificial Intelligence, pages: 15999-16003; AAAI Conference on Artificial Intelligence",##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
Who are the authors of the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,"J. Chao, Rebecca Ellis, Shiyan Jiang, C. Rose, W. Finzer, Can Tatar, James Fiacco, Kenia Wiedemann",##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
Who is the first author of the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,J. Chao,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
What is the TLDR summary of the paper 'Exploring Artificial Intelligence in English Language Arts with StoryQ'?,,##Title: Exploring Artificial Intelligence in English Language Arts with StoryQ
