Question,Answer,Notes
What is the name of this paper?,Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the author ID of Emma Strubell?,2268272,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the H-index of Emma Strubell?,17,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the semantic scholar author name of Emma Strubell?,Emma Strubell,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the semantic scholar author name of Emma Strubell?,https://www.semanticscholar.org/author/2268272,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the affiliation of Emma Strubell?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the paper ID of the paper Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation?,84d20ad9f42d80dfd5130a6362d5422be8a6bdc3,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What are the external IDs of the paper Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation?,"{'ArXiv': '2307.09701', 'DBLP': 'journals/corr/abs-2307-09701', 'DOI': '10.48550/arXiv.2307.09701', 'CorpusId': 259982429}","##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the URL of the paper Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation?,https://www.semanticscholar.org/paper/84d20ad9f42d80dfd5130a6362d5422be8a6bdc3,"##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
What is the abstract of the paper 'Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation'?,"Rising computational demands of modern natural language processing (NLP) systems have increased the barrier to entry for cutting-edge research while posing serious environmental concerns. Yet, progress on model efficiency has been impeded by practical challenges in model evaluation and comparison. For example, hardware is challenging to control due to disparate levels of accessibility across different institutions. Moreover, improvements in metrics such as FLOPs often fail to translate to progress in real-world applications. In response, we introduce Pentathlon, a benchmark for holistic and realistic evaluation of model efficiency. Pentathlon focuses on inference, which accounts for a majority of the compute in a model's lifecycle. It offers a strictly-controlled hardware platform, and is designed to mirror real-world applications scenarios. It incorporates a suite of metrics that target different aspects of efficiency, including latency, throughput, memory overhead, and energy consumption. Pentathlon also comes with a software library that can be seamlessly integrated into any codebase and enable evaluation. As a standardized and centralized evaluation platform, Pentathlon can drastically reduce the workload to make fair and reproducible efficiency comparisons. While initially focused on natural language processing (NLP) models, Pentathlon is designed to allow flexible extension to other fields. We envision Pentathlon will stimulate algorithmic innovations in building efficient models, and foster an increased awareness of the social and environmental implications in the development of future-generation NLP models.","##Author: Emma Strubell, ##Title: Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation"
