Question,Answer,Notes
What is the name of this paper?,Universal Source Separation with Weakly Labelled Data,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the author ID of Taylor Berg-Kirkpatrick?,1400419309,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the H-index of Taylor Berg-Kirkpatrick?,36,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,Taylor Berg-Kirkpatrick,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,https://www.semanticscholar.org/author/1400419309,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the affiliation of Taylor Berg-Kirkpatrick?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the paper ID of the paper Universal Source Separation with Weakly Labelled Data?,55324ec5662bbea2e226ce3d8e6258a62836e940,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What are the external IDs of the paper Universal Source Separation with Weakly Labelled Data?,"{'DBLP': 'journals/corr/abs-2305-07447', 'ArXiv': '2305.07447', 'DOI': '10.48550/arXiv.2305.07447', 'CorpusId': 258676389}","##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the URL of the paper Universal Source Separation with Weakly Labelled Data?,https://www.semanticscholar.org/paper/55324ec5662bbea2e226ce3d8e6258a62836e940,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the abstract of the paper 'Universal Source Separation with Weakly Labelled Data'?,"Universal source separation (USS) is a fundamental research task for computational auditory scene analysis, which aims to separate mono recordings into individual source tracks. There are three potential challenges awaiting the solution to the audio source separation task. First, previous audio source separation systems mainly focus on separating one or a limited number of specific sources. There is a lack of research on building a unified system that can separate arbitrary sources via a single model. Second, most previous systems require clean source data to train a separator, while clean source data are scarce. Third, there is a lack of USS system that can automatically detect and separate active sound classes in a hierarchical level. To use large-scale weakly labeled/unlabeled audio data for audio source separation, we propose a universal audio source separation framework containing: 1) an audio tagging model trained on weakly labeled data as a query net; and 2) a conditional source separation model that takes query net outputs as conditions to separate arbitrary sound sources. We investigate various query nets, source separation models, and training strategies and propose a hierarchical USS strategy to automatically detect and separate sound classes from the AudioSet ontology. By solely leveraging the weakly labelled AudioSet, our USS system is successful in separating a wide variety of sound classes, including sound event separation, music source separation, and speech enhancement. The USS system achieves an average signal-to-distortion ratio improvement (SDRi) of 5.57 dB over 527 sound classes of AudioSet; 10.57 dB on the DCASE 2018 Task 2 dataset; 8.12 dB on the MUSDB18 dataset; an SDRi of 7.28 dB on the Slakh2100 dataset; and an SSNR of 9.00 dB on the voicebank-demand dataset. We release the source code at https://github.com/bytedance/uss","##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
In which venue was the paper 'Universal Source Separation with Weakly Labelled Data' published?,arXiv.org,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
In what year was the paper 'Universal Source Separation with Weakly Labelled Data' published?,2023,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
How many references are in the paper 'Universal Source Separation with Weakly Labelled Data'?,74,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
How many citations does the paper 'Universal Source Separation with Weakly Labelled Data' have?,6,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the citation count of 'Universal Source Separation with Weakly Labelled Data' have?,6,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
How many influential citations does the paper 'Universal Source Separation with Weakly Labelled Data' have?,0,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
Is the paper 'Universal Source Separation with Weakly Labelled Data' open access?,Yes,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
What is the open access PDF URL of the paper titled 'Universal Source Separation with Weakly Labelled Data'?,http://arxiv.org/pdf/2305.07447,"##Author: Taylor Berg-Kirkpatrick, ##Title: Universal Source Separation with Weakly Labelled Data"
