Question,Answer,Notes
What is the author ID of Alexander Waibel?,2064429921,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
What is the H-index of Alexander Waibel?,6,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
What is the semantic scholar author name of Alexander Waibel?,A. Waibel,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
What is the semantic scholar author name of Alexander Waibel?,https://www.semanticscholar.org/author/2064429921,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
What is the affiliation of Alexander Waibel?,"LTI (CMU), No other affiliations","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the paper ID of the paper Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages?",f3e237e794bc4cd8df7f3e31d0caa2f7ee8cd06b,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What are the external IDs of the paper Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages?","{'ArXiv': '2305.03873', 'ACL': '2023.loresmt-1.1', 'DBLP': 'journals/corr/abs-2305-03873', 'DOI': '10.48550/arXiv.2305.03873', 'CorpusId': 258486942}","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the URL of the paper Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages?",https://www.semanticscholar.org/paper/f3e237e794bc4cd8df7f3e31d0caa2f7ee8cd06b,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the abstract of the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?","In many humanitarian scenarios, translation into severely low resource languages often does not require a universal translation engine, but a dedicated text-specific translation engine. For example, healthcare records, hygienic procedures, government communication, emergency procedures and religious texts are all limited texts. While generic translation engines for all languages do not exist, translation of multilingually known limited texts into new, endangered languages may be possible and reduce human translation effort. We attempt to leverage translation resources from rich resource languages to efficiently produce best possible translation quality for well known texts, which is available in multiple languages, in a new, severely low resource language. We examine two approaches: 1.) best selection of seed sentences to jump start translations in a new language in view of best generalization to the remainder of a larger targeted text(s), and 2.) we adapt large general multilingual translation engines from many other languages to focus on a specific text in a new, unknown language. We find that adapting large pretrained multilingual models to the domain/text first and then to the severely low resource language works best. If we also select a best set of seed sentences, we can improve average chrF performance on new test languages from a baseline of 21.9 to 50.7, while reducing the number of seed sentences to only ∼1,000 in the new, unknown language.","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"In which venue was the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' published?",LORESMT,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"In what year was the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' published?",2023,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"How many references are in the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?",82,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"How many citations does the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' have?",0,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the citation count of 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' have?",0,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"How many influential citations does the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' have?",0,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"Is the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages' open access?",Yes,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the open access PDF URL of the paper titled 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?",http://arxiv.org/pdf/2305.03873,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What are the fields of study for the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?",Computer Science,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the journal name for the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?","ArXiv, volume: abs/2305.03873; ArXiv","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"Who are the authors of the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?","Zhong Zhou, J. Niehues, A. Waibel","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"Who is the first author of the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?",Zhong Zhou,"##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
"What is the TLDR summary of the paper 'Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages'?","This work examines two approaches to best selection of seed sentences to jump start translations in a new language in view of best generalization to the remainder of a larger targeted text(s), and it finds that adapting large pretrained multilingual models to the domain/text first and then to the severely low resource language works best.","##Title: Train Global, Tailor Local: Minimalist Multilingual Translation into Endangered Languages"
