Question,Answer,Notes
What is the name of this paper?,An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the author ID of Yiming Yang?,35729970,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the H-index of Yiming Yang?,64,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/35729970,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the paper ID of the paper An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands?,b946ca9514be9920e5d1eff11f597facb8f7c6b7,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What are the external IDs of the paper An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands?,"{'DOI': '10.3390/met13081489', 'CorpusId': 261018148}","##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the URL of the paper An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands?,https://www.semanticscholar.org/paper/b946ca9514be9920e5d1eff11f597facb8f7c6b7,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
What is the abstract of the paper 'An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands'?,"To understand the secondary transfer performances of residual prestress after the anchoring failure of end-anchored steel wire strands due to corrosion fracture, six steel wire strand components of post-tensioning prestress were designed and fabricated. One-side fast corrosion was applied to the steel wire strand components using the electrochemical method until anchoring failure was reached. The sphere of influence, stress changes, and the retraction and swelling effect of broken beams after failure were investigated. The influences of factors such as concrete strength, stirrup area, and the length of the component on the secondary transfer length of residual prestress were discussed. Based on the deformation relationship between prestressed steel wire strands and concrete in the stress transfer zone, a stress equation was established and solved through a bond constitutive model. A prediction model of the effective stress transfer length of prestressed steel wire strand after failure was proposed. The results demonstrated that residual prestress can have a secondary transfer after the corrosion fracture of end-anchored steel wire strands, but some effective prestress may be lost. Moreover, the loss of prestress is inversely proportional to concrete compressive strength. When the specimens are relatively short, the prestress loss increases significantly. Concrete strength has significant influences on the length of secondary transfer. The proposed simplified calculation method of the secondary transfer length of residual prestress has a relatively high accuracy, with an average error of 2.9% and a maximum error of 5.2%.","##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
In which venue was the paper 'An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands' published?,Metals,"##Author: Yiming Yang, ##Title: An Experimental Study on Secondary Transfer Performances of Prestress after Anchoring Failure of Steel Wire Strands"
