Question,Answer,Notes
What is the author ID of Norman Sadeh?,2464164,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the H-index of Norman Sadeh?,68,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the semantic scholar author name of Norman Sadeh?,N. Sadeh,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the semantic scholar url of Norman Sadeh?,https://www.semanticscholar.org/author/2464164,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the affiliation of Norman Sadeh?,"LTI (CMU), No other affiliations",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the paper ID of the paper ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels?,d07e77f0477c3568d64086ef4d50ea1fcff63b8c,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What are the external IDs of the paper ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels?,"{'ArXiv': '2306.09247', 'DBLP': 'journals/corr/abs-2306-09247', 'DOI': '10.1109/EuroSPW59978.2023.00016', 'CorpusId': 259164851}",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the URL of the paper ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels?,https://www.semanticscholar.org/paper/d07e77f0477c3568d64086ef4d50ea1fcff63b8c,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the abstract of the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,"Privacy policies are long, complex documents that end-users seldom read. Privacy labels aim to ameliorate these issues by providing succinct summaries of salient data practices. In December 2020, Apple began requiring that app developers submit privacy labels describing their apps’ data practices. Yet, research suggests that app developers often struggle to do so. In this paper, we automatically identify possible discrepancies between mobile app privacy policies and their privacy labels. Such discrepancies could be indicators of potential privacy compliance issues. We introduce the Automated Privacy Label Analysis System (ATLAS). ATLAS includes three components: a pipeline to systematically retrieve iOS App Store listings and privacy policies; an ensemble-based classifier capable of predicting privacy labels from the text of privacy policies with 91.3% accuracy using state-of-the-art NLP techniques; and a discrepancy analysis mechanism that enables a large-scale privacy analysis of the iOS App Store. Our system has enabled us to analyze 354,725 iOS apps. We find several interesting trends. For example, only 40.3% of apps in the App Store provide easily accessible privacy policies, and only 29.6% of apps provide both accessible privacy policies and privacy labels. Among apps that provide both, 88.0% have at least one possible discrepancy between the text of their privacy policy and their privacy label, which could be indicative of a potential compliance issue. We find that, on average, apps have 5.32 such potential compliance issues. We hope that ATLAS will help app developers, researchers, regulators, and mobile app stores alike. For example, app developers could use our classifier to check for discrepancies between their privacy policies and privacy labels, and regulators could use our system to help review apps at scale for potential compliance issues.",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
In which venue was the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' published?,2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
In what year was the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' published?,2023,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
How many references are in the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,49,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
How many citations does the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' have?,3,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the citation count of 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' have?,3,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
How many influential citations does the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' have?,1,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
Is the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels' open access?,Yes,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the open access PDF URL of the paper titled 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,https://figshare.com/articles/thesis/ATLAS_Automatically_Detecting_Discrepancies_Between_Privacy_Policies_and_Privacy_Labels/23502054/1/files/41219358.pdf,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What are the fields of study for the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,Computer Science,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the journal name for the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,"2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW), pages: 94-107; 2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW)",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
Who are the authors of the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,"Akshatha Jain, David Rodriguez Torrado, J. D. Alamo, N. Sadeh",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
Who is the first author of the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,Akshatha Jain,##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
What is the TLDR summary of the paper 'ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels'?,"This paper automatically identifies possible discrepancies between mobile app privacy policies and their privacy labels, and finds that, on average, apps have 5.32 potential compliance issues.",##Title: ATLAS: Automatically Detecting Discrepancies Between Privacy Policies and Privacy Labels
