Question,Answer,Notes
What is the name of this paper?,COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the author ID of Maarten Sap?,2729164,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the H-index of Maarten Sap?,36,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the semantic scholar author name of Maarten Sap?,Maarten Sap,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the semantic scholar author name of Maarten Sap?,https://www.semanticscholar.org/author/2729164,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the affiliation of Maarten Sap?,"Carnegie Mellon University, Allen Institute for AI","##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the paper ID of the paper COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements?,185ace5661963e2e1eb998e739e4110272a6bb43,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What are the external IDs of the paper COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements?,"{'DBLP': 'conf/acl/ZhouZYDHSS23', 'ArXiv': '2306.01985', 'DOI': '10.48550/arXiv.2306.01985', 'CorpusId': 259075355}","##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the URL of the paper COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements?,https://www.semanticscholar.org/paper/185ace5661963e2e1eb998e739e4110272a6bb43,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the abstract of the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements'?,"Warning: This paper contains content that may be offensive or upsetting. Understanding the harms and offensiveness of statements requires reasoning about the social and situational context in which statements are made. For example, the utterance""your English is very good""may implicitly signal an insult when uttered by a white man to a non-white colleague, but uttered by an ESL teacher to their student would be interpreted as a genuine compliment. Such contextual factors have been largely ignored by previous approaches to toxic language detection. We introduce COBRA frames, the first context-aware formalism for explaining the intents, reactions, and harms of offensive or biased statements grounded in their social and situational context. We create COBRACORPUS, a dataset of 33k potentially offensive statements paired with machine-generated contexts and free-text explanations of offensiveness, implied biases, speaker intents, and listener reactions. To study the contextual dynamics of offensiveness, we train models to generate COBRA explanations, with and without access to the context. We find that explanations by context-agnostic models are significantly worse than by context-aware ones, especially in situations where the context inverts the statement's offensiveness (29% accuracy drop). Our work highlights the importance and feasibility of contextualized NLP by modeling social factors.","##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
In which venue was the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' published?,Annual Meeting of the Association for Computational Linguistics,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
In what year was the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' published?,2023,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
How many references are in the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements'?,83,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
How many citations does the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' have?,8,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the citation count of 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' have?,8,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
How many influential citations does the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' have?,0,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
Is the paper 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements' open access?,Yes,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the open access PDF URL of the paper titled 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements'?,http://arxiv.org/pdf/2306.01985,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What are the fields of study for the paper titled 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements'?,Computer Science,"##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
What is the journal name for the paper titled 'COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements'?,"ArXiv, volume: abs/2306.01985; ArXiv","##Author: Maarten Sap, ##Title: COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements"
