Question,Answer,Notes
What is the author ID of Alexander Waibel?,2064429921,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
What is the H-index of Alexander Waibel?,6,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
What is the semantic scholar author name of Alexander Waibel?,A. Waibel,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
What is the semantic scholar url of Alexander Waibel?,https://www.semanticscholar.org/author/2064429921,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
What is the affiliation of Alexander Waibel?,"LTI (CMU), No other affiliations","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the paper ID of the paper AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization?",aab2ed83bc3739a20e90ae1d97dcf45f3bc8e508,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What are the external IDs of the paper AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization?","{'DBLP': 'conf/icassp/NguyenNNDLW23', 'DOI': '10.1109/ICASSP49357.2023.10094599', 'CorpusId': 258531035}","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the URL of the paper AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization?",https://www.semanticscholar.org/paper/aab2ed83bc3739a20e90ae1d97dcf45f3bc8e508,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the abstract of the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?","Inverse text normalization (ITN) is the task that transforms text in spoken-form into written-form. While automatic speech recognition (ASR) produces text in spoken-form, human and natural language understanding systems prefer to consume text in written-form. ITN generally deals with semiotic phrases (e.g., numbers, date, time). However, lack of studies to deal with phonetization phrases, which is ASR’s output when it handles unseen data (e.g., foreign-named entities, domain names), although these exist in the same form in the spoken-form text. The reason is that phonetization phrases are infinite patterns and language-dependent. In this study, we introduce a novel end2end model that can handle both semiotic phrases (SEP) and phonetization phrases (PHP), named AdapITN. We call it ""Adap"" because it allows for handling unseen PHP. The model performs only when necessary by providing a mechanism to narrow normalized regions and external query knowledge, reducing the runtime significantly.","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"In which venue was the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' published?","IEEE International Conference on Acoustics, Speech, and Signal Processing","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"In what year was the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' published?",2023,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"How many references are in the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?",22,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"How many citations does the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' have?",1,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the citation count of 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' have?",1,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"How many influential citations does the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' have?",0,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"Is the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization' open access?",Yes,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the open access PDF URL of the paper titled 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?",openAccessPdf not available,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What are the fields of study for the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?",Computer Science,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the journal name for the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), pages: 1-5; ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"Who are the authors of the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?","T. Nguyen, Le Duc Minh Nhat, Quang Minh Nguyen, Quoc Truong Do, C. Luong, A. Waibel","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"Who is the first author of the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?",T. Nguyen,"##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
"What is the TLDR summary of the paper 'AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization'?","A novel end2end model that can handle both semiotic phrases (SEP) and phonetization phrases (PHP), named AdapITN is introduced, named ""Adap"" because it allows for handling unseen PHP.","##Title: AdapITN: A Fast, Reliable, and Dynamic Adaptive Inverse Text Normalization"
