Question,Answer,Notes
What is the name of this paper?,Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the author ID of Norman Sadeh?,2464164,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the H-index of Norman Sadeh?,68,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the semantic scholar author name of Norman Sadeh?,N. Sadeh,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the semantic scholar author name of Norman Sadeh?,https://www.semanticscholar.org/author/2464164,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the affiliation of Norman Sadeh?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the paper ID of the paper Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores?,88efd1663016c4170674c8f30067e7096b172598,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What are the external IDs of the paper Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores?,"{'DBLP': 'conf/eurosp/RodriguezJAS23', 'DOI': '10.1109/EuroSPW59978.2023.00022', 'CorpusId': 260388094}","##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the URL of the paper Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores?,https://www.semanticscholar.org/paper/88efd1663016c4170674c8f30067e7096b172598,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the abstract of the paper 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores'?,"Apple and Android introduced privacy labels in 2020 and 2022 respectively as a way of providing consumers with succinct summaries of mobile apps’ more salient data practices. A number of apps are published in both stores, offering us the opportunity to compare their privacy label disclosures in the two app stores. This paper compares the data practices privacy labels are intended to capture in each store. It then proceeds to analyze the disclosures of 822 apps published in both app stores, focusing on possible discrepancies. This analysis reveals that privacy label disclosures of what is ostensibly the same mobile app can be quite different. We discuss the different possible reasons behind these differences, including the possibility that these discrepancies might be indicative of potential privacy compliance issues. In particular, focusing on data collection disclosures of five different data types (location, contact info, sensitive info, identifiers, and health & fitness) we find discrepancies between iOS and Google Play privacy label disclosures in 66.5% of the mobile apps we analyze.","##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
In which venue was the paper 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores' published?,2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
In what year was the paper 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores' published?,2023,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
How many references are in the paper 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores'?,26,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
How many citations does the paper 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores' have?,2,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
What is the citation count of 'Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores' have?,2,"##Author: Norman Sadeh, ##Title: Comparing Privacy Label Disclosures of Apps Published in both the App Store and Google Play Stores"
