Question,Answer,Notes
What is the author ID of Madhavi Ganapathiraju?,32747279,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
What is the H-index of Madhavi Ganapathiraju?,20,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
What is the semantic scholar author name of Madhavi Ganapathiraju?,M. Ganapathiraju,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
What is the semantic scholar url of Madhavi Ganapathiraju?,https://www.semanticscholar.org/author/32747279,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
What is the affiliation of Madhavi Ganapathiraju?,"LTI (CMU), No other affiliations","##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the paper ID of the paper Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials?",de52a2f746c5cf145ee2af3a978ee1942eec1a57,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What are the external IDs of the paper Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials?","{'DOI': '10.3389/fsysb.2023.1293298', 'CorpusId': 263319943}","##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the URL of the paper Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials?",https://www.semanticscholar.org/paper/de52a2f746c5cf145ee2af3a978ee1942eec1a57,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the abstract of the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",None,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"In which venue was the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' published?",Frontiers in Systems Biology,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"In what year was the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' published?",2023,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"How many references are in the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",6,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"How many citations does the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' have?",0,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the citation count of 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' have?",0,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"How many influential citations does the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' have?",0,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"Is the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials' open access?",Yes,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the open access PDF URL of the paper titled 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",https://www.frontiersin.org/articles/10.3389/fsysb.2023.1293298/pdf?isPublishedV2=False,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What are the fields of study for the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",fields not available,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the journal name for the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",Frontiers in Systems Biology,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"Who are the authors of the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?","Jane A. Leopold, M. Ganapathiraju, N. Yanamala","##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"Who is the first author of the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",Jane A. Leopold,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
"What is the TLDR summary of the paper 'Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials'?",TLDR not found,"##Title: Editorial: Systems biology, women in science 2021/22: translational systems biology and in silico trials"
