Question,Answer,Notes
What is the name of this paper?,Multimodal Fusion Interactions: A Study of Human and Automatic Quantification,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the author ID of Louis-Philippe Morency?,49933077,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the H-index of Louis-Philippe Morency?,79,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the semantic scholar author name of Louis-Philippe Morency?,Louis-Philippe Morency,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the semantic scholar author name of Louis-Philippe Morency?,https://www.semanticscholar.org/author/49933077,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the affiliation of Louis-Philippe Morency?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the paper ID of the paper Multimodal Fusion Interactions: A Study of Human and Automatic Quantification?,90b09bdb1bd78875ee8d8d324a568a36955e4765,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What are the external IDs of the paper Multimodal Fusion Interactions: A Study of Human and Automatic Quantification?,"{'DBLP': 'conf/icmi/LiangCSM23', 'ArXiv': '2306.04125', 'DOI': '10.1145/3577190.3614151', 'CorpusId': 259095686}","##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the URL of the paper Multimodal Fusion Interactions: A Study of Human and Automatic Quantification?,https://www.semanticscholar.org/paper/90b09bdb1bd78875ee8d8d324a568a36955e4765,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
What is the abstract of the paper 'Multimodal Fusion Interactions: A Study of Human and Automatic Quantification'?,"In order to perform multimodal fusion of heterogeneous signals, we need to understand their interactions: how each modality individually provides information useful for a task and how this information changes in the presence of other modalities. In this paper, we perform a comparative study of how humans annotate two categorizations of multimodal interactions: (1) partial labels, where different annotators annotate the label given the first, second, and both modalities, and (2) counterfactual labels, where the same annotator annotates the label given the first modality before asking them to explicitly reason about how their answer changes when given the second. We further propose an alternative taxonomy based on (3) information decomposition, where annotators annotate the degrees of redundancy: the extent to which modalities individually and together give the same predictions, uniqueness: the extent to which one modality enables a prediction that the other does not, and synergy: the extent to which both modalities enable one to make a prediction that one would not otherwise make using individual modalities. Through experiments and annotations, we highlight several opportunities and limitations of each approach and propose a method to automatically convert annotations of partial and counterfactual labels to information decomposition, yielding an accurate and efficient method for quantifying multimodal interactions.","##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
In which venue was the paper 'Multimodal Fusion Interactions: A Study of Human and Automatic Quantification' published?,International Conference on Multimodal Interaction,"##Author: Louis-Philippe Morency, ##Title: Multimodal Fusion Interactions: A Study of Human and Automatic Quantification"
