Question,Answer,Notes
What is the name of this paper?,Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the author ID of Chenyan Xiong?,2139787803,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the H-index of Chenyan Xiong?,7,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the semantic scholar author name of Chenyan Xiong?,Chenyan Xiong,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the semantic scholar author name of Chenyan Xiong?,https://www.semanticscholar.org/author/2139787803,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the affiliation of Chenyan Xiong?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the paper ID of the paper Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories?,e0401ca2d4fd6d0ed55130a4a24b33ed90111479,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What are the external IDs of the paper Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories?,"{'DBLP': 'conf/emnlp/GeXRO0023', 'ArXiv': '2302.03754', 'DOI': '10.48550/arXiv.2302.03754', 'CorpusId': 256662717}","##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the URL of the paper Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories?,https://www.semanticscholar.org/paper/e0401ca2d4fd6d0ed55130a4a24b33ed90111479,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the abstract of the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories'?,"In this paper we improve the zero-shot generalization ability of language models via Mixture-Of-Memory Augmentation (MoMA), a mechanism that retrieves augmentation documents from multiple information corpora (""external memories""), with the option to""plug in""new memory at inference time. We develop a joint learning mechanism that trains the augmentation component with latent labels derived from the end retrieval task, paired with hard negatives from the memory mixture. We instantiate the model in a zero-shot dense retrieval setting by augmenting a strong T5-based retriever with MoMA. Our model, MoMA, obtains strong zero-shot retrieval accuracy on the eighteen tasks included in the standard BEIR benchmark. It outperforms systems that seek generalization from increased model parameters and computation steps. Our analysis further illustrates the necessity of augmenting with mixture-of-memory for robust generalization, the benefits of augmentation learning, and how MoMA utilizes the plug-in memory at inference time without changing its parameters. We plan to open source our code.","##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
In which venue was the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' published?,Conference on Empirical Methods in Natural Language Processing,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
In what year was the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' published?,2023,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
How many references are in the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories'?,72,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
How many citations does the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' have?,4,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the citation count of 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' have?,4,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
How many influential citations does the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' have?,0,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
Is the paper 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories' open access?,Yes,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the open access PDF URL of the paper titled 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories'?,http://arxiv.org/pdf/2302.03754,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What are the fields of study for the paper titled 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories'?,Computer Science,"##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
What is the journal name for the paper titled 'Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories'?,"ArXiv, volume: abs/2302.03754; ArXiv","##Author: Chenyan Xiong, ##Title: Augmenting Zero-Shot Dense Retrievers with Plug-in Mixture-of-Memories"
