Question,Answer,Notes
What is the name of this paper?,SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the author ID of Shinji Watanabe?,1746678,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the H-index of Shinji Watanabe?,67,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the paper ID of the paper SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing?,659be1ff350634f50cc066d258ee6a45e697e552,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What are the external IDs of the paper SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing?,"{'DBLP': 'conf/sigmorphon/HeTR0MNL23', 'ACL': '2023.sigmorphon-1.22', 'DOI': '10.18653/v1/2023.sigmorphon-1.22', 'CorpusId': 259833803}","##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the URL of the paper SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing?,https://www.semanticscholar.org/paper/659be1ff350634f50cc066d258ee6a45e697e552,"##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
What is the abstract of the paper 'SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing'?,"In our submission to the SIGMORPHON 2023 Shared Task on interlinear glossing (IGT), we explore approaches to data augmentation and modeling across seven low-resource languages. For data augmentation, we explore two approaches: creating artificial data from the provided training data and utilizing existing IGT resources in other languages. On the modeling side, we test an enhanced version of the provided token classification baseline as well as a pretrained multilingual seq2seq model. Additionally, we apply post-correction using a dictionary for Gitksan, the language with the smallest amount of data. We find that our token classification models are the best performing, with the highest word-level accuracy for Arapaho and highest morpheme-level accuracy for Gitksan out of all submissions. We also show that data augmentation is an effective strategy, though applying artificial data pretraining has very different effects across both models tested.","##Author: Shinji Watanabe, ##Title: SigMoreFun Submission to the SIGMORPHON Shared Task on Interlinear Glossing"
