Question,Answer,Notes
What is the author ID of Carolyn Rose?,35959897,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the H-index of Carolyn Rose?,54,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the semantic scholar author name of Carolyn Rose?,C. Rosé,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the semantic scholar url of Carolyn Rose?,https://www.semanticscholar.org/author/35959897,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the affiliation of Carolyn Rose?,"LTI (CMU), No other affiliations",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the paper ID of the paper Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning?,117e1323677cb5d78ece0fd07b5cfa81618f4866,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What are the external IDs of the paper Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning?,"{'DBLP': 'conf/acl/NourbakhshSR23', 'ACL': '2023.acl-long.834', 'DOI': '10.18653/v1/2023.acl-long.834', 'CorpusId': 259370632}",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the URL of the paper Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning?,https://www.semanticscholar.org/paper/117e1323677cb5d78ece0fd07b5cfa81618f4866,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the abstract of the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,"In quantitative question answering, compositional generalization is one of the main challenges of state of the art models, especially when longer sequences of reasoning steps are required. In this paper we propose CounterComp, a method that uses counterfactual scenarios to generate samples with compositional contrast. Instead of a data augmentation approach, CounterComp is based on metric learning, which allows for direct sampling from the training set and circumvents the need for additional human labels. Our proposed auxiliary metric learning loss improves the performance of three state of the art models on four recently released datasets. We also show how the approach can improve OOD performance on unseen domains, as well as unseen compositions. Lastly, we demonstrate how the method can lead to better compositional attention patterns during training.",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
In which venue was the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' published?,Annual Meeting of the Association for Computational Linguistics,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
In what year was the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' published?,2023,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
How many references are in the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,30,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
How many citations does the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' have?,0,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the citation count of 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' have?,0,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
How many influential citations does the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' have?,0,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
Is the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning' open access?,Yes,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the open access PDF URL of the paper titled 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,https://aclanthology.org/2023.acl-long.834.pdf,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What are the fields of study for the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,Computer Science,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the journal name for the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,"Annual Meeting of the Association for Computational Linguistics, pages: 14930-14943; Annual Meeting of the Association for Computational Linguistics",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
Who are the authors of the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,"Armineh Nourbakhsh, Sameena Shah, C. Rose",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
Who is the first author of the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,Armineh Nourbakhsh,##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
What is the TLDR summary of the paper 'Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning'?,"This paper proposes CounterComp, a method that uses counterfactual scenarios to generate samples with compositional contrast based on metric learning, which allows for direct sampling from the training set and circumvents the need for additional human labels.",##Title: Using counterfactual contrast to improve compositional generalization for multi-step quantitative reasoning
