Question,Answer,Notes
What is the author ID of Lei Li?,143900005,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the H-index of Lei Li?,47,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the semantic scholar author name of Lei Li?,Lei Li,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the semantic scholar author name of Lei Li?,https://www.semanticscholar.org/author/143900005,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What are affiliation of Lei Li?,University of California Santa Barbara,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the paper ID of the paper Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods?,71f6931c4a5f7dda0382090a2c01bd5bff27d31e,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What are the external IDs of the paper Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods?,"{'PubMedCentral': '10268272', 'DOI': '10.1021/acsomega.3c02309', 'CorpusId': 258939476, 'PubMed': '37323393'}",##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the URL of the paper Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods?,https://www.semanticscholar.org/paper/71f6931c4a5f7dda0382090a2c01bd5bff27d31e,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the abstract of the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,"As an important mechanism in gas injection development, the diffusion characteristics of natural gas in tight reservoirs are important in the dynamic prediction of the development effect and optimization of injection-production parameters. In this paper, a high-pressure and high-temperature oil–gas diffusion experimental device was built, which was used to study the effects of the porous medium, pressure, permeability, and fracture on oil–gas diffusion under tight reservoir conditions. Two mathematical models were used to calculate the diffusion coefficients of natural gas in bulk oil and cores. Besides, the numerical simulation model was established to study the diffusion characteristics of natural gas in gas flooding and huff-n-puff, and five diffusion coefficients were selected based on experimental results for simulation study. The remaining oil saturation of grids, the recovery of single layers, and the distribution of CH4 mole fraction in oil were analyzed based on the simulation results. The experimental results show that the diffusion process can be divided into three stages: the initial stage of instability, the diffusion stage, and the stable stage. The absence of medium, high pressure, high permeability, and the existence of fracture are beneficial to natural gas diffusion, which can also reduce the equilibrium time and increase the gas pressure drop. Furthermore, the existence of fracture is beneficial to the early diffusion of gas. The simulation results show that the diffusion coefficient has a greater influence on the oil recovery of huff-n-puff. For gas flooding and huff-n-puff, the diffusion features both perform such that a high diffusion coefficient results in a close diffusion distance, small sweep range, and low oil recovery. However, a high diffusion coefficient can achieve high oil washing efficiency near the injecting well. The study is helpful to provide theoretical guidance for natural gas injection in tight oil reservoirs.",##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
In which venue was the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' published?,ACS Omega,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
In what year was the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' published?,2023,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
How many references are in the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,41,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
How many citations does the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' have?,0,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the citation count of 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' have?,0,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
How many influential citations does the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' have?,0,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
Is the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods' open access?,Yes,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the open access PDF URL of the paper titled 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c02309,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What are the fields of study for the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,Medicine,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
What is the journal name for the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,"ACS Omega, volume: 8, pages: 21195 - 21211; ACS Omega",##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
Who are the authors of the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,"Baishuo Liu, C. Yao, Yaqian Liu, Jia Zhao, Zhengdong Lei, Zhe Wang, Tianxiang Cheng, Lei Li",##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
Who is the first author of the paper 'Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods'?,Baishuo Liu,##Title: Quantitative Analysis of Natural Gas Diffusion Characteristics in Tight Oil Reservoirs Based on Experimental and Numerical Simulation Methods
