Question,Answer,Notes
What is the author ID of Malihe Alikhani?,2715920,##Title: A corpus of Persian literary text
What is the H-index of Malihe Alikhani?,12,##Title: A corpus of Persian literary text
What is the semantic scholar author name of Malihe Alikhani?,Malihe Alikhani,##Title: A corpus of Persian literary text
What is the semantic scholar url of Malihe Alikhani?,https://www.semanticscholar.org/author/2715920,##Title: A corpus of Persian literary text
What are affiliation of Malihe Alikhani?,Rutgers University,##Title: A corpus of Persian literary text
What is the paper ID of the paper A corpus of Persian literary text?,ee866d0dd47351542e4924f14203a767dd03194a,##Title: A corpus of Persian literary text
What are the external IDs of the paper A corpus of Persian literary text?,"{'DOI': '10.1007/s10579-023-09689-6', 'CorpusId': 265419296}",##Title: A corpus of Persian literary text
What is the URL of the paper A corpus of Persian literary text?,https://www.semanticscholar.org/paper/ee866d0dd47351542e4924f14203a767dd03194a,##Title: A corpus of Persian literary text
What is the abstract of the paper 'A corpus of Persian literary text'?,None,##Title: A corpus of Persian literary text
In which venue was the paper 'A corpus of Persian literary text' published?,Language Resources and Evaluation,##Title: A corpus of Persian literary text
In what year was the paper 'A corpus of Persian literary text' published?,2023,##Title: A corpus of Persian literary text
How many references are in the paper 'A corpus of Persian literary text'?,35,##Title: A corpus of Persian literary text
How many citations does the paper 'A corpus of Persian literary text' have?,0,##Title: A corpus of Persian literary text
What is the citation count of 'A corpus of Persian literary text' have?,0,##Title: A corpus of Persian literary text
How many influential citations does the paper 'A corpus of Persian literary text' have?,0,##Title: A corpus of Persian literary text
Is the paper 'A corpus of Persian literary text' open access?,Yes,##Title: A corpus of Persian literary text
What is the open access PDF URL of the paper titled 'A corpus of Persian literary text'?,https://link.springer.com/content/pdf/10.1007/s10579-023-09689-6.pdf,##Title: A corpus of Persian literary text
What are the fields of study for the paper 'A corpus of Persian literary text'?,fields not available,##Title: A corpus of Persian literary text
What is the journal name for the paper 'A corpus of Persian literary text'?,"Language Resources and Evaluation, volume: , pages: 1-17; Language Resources and Evaluation",##Title: A corpus of Persian literary text
Who are the authors of the paper 'A corpus of Persian literary text'?,"Shahab Raji, Malihe Alikhani, Gerard de Melo, Matthew Stone",##Title: A corpus of Persian literary text
Who is the first author of the paper 'A corpus of Persian literary text'?,Shahab Raji,##Title: A corpus of Persian literary text
What is the TLDR summary of the paper 'A corpus of Persian literary text'?,"The corpus, the tools, and experiments described in this paper can be used not only for digital humanities studies of Persian literature but also for processing Persian texts in general, as well as in other broader cross-linguistic applications.",##Title: A corpus of Persian literary text
