Question,Answer,Notes
What is the name of this paper?,Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the author ID of Yiming Yang?,35729970,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the H-index of Yiming Yang?,64,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/35729970,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the paper ID of the paper Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel?,2bfa8ac40c1ff8e45c298115fcadae062526310e,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What are the external IDs of the paper Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel?,"{'DOI': '10.3390/met13081496', 'CorpusId': 261111753}","##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the URL of the paper Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel?,https://www.semanticscholar.org/paper/2bfa8ac40c1ff8e45c298115fcadae062526310e,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the abstract of the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,"The fatigue crack propagation behaviour of Q550E high-performance steel (HPS) is studied in this paper. Static tensile testing and fatigue crack propagation testing were carried out, and the results were compared with those of Q235. Finite element models were developed and verified against the experimental results. The impacts of the initial crack angle, crack depth ratio, stress ratio, thickness, and corrosion pitting on the fatigue crack propagation behaviour of the HPS were analysed. The results show that the fatigue life of Q550 was reduced by 18% due to the corrosion pitting, but it did not change the crack propagation path. When the stress intensity factor is higher than a certain value, the fatigue performance of Q235 is better than that of Q550E. The initial crack angle of 52.5° is the critical angle of the crack stress intensity factor. The steel tends to fracture as the crack depth ratio increases, and more attention should be paid to the effective crack length in engineering practice. An increasing stress ratio leads to a smaller stress intensity factor, and the thickness affects the stress intensity factor in the later stage. The crack stress intensity factor around the corrosion pits gradually decreases along the thickness direction, and the crack tips around the corrosion pits tend to reach the yield state initially, accelerating the fatigue fracture of the specimen and ultimately leading to a decrease in fatigue life.","##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
In which venue was the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' published?,Metals,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
In what year was the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' published?,2023,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
How many references are in the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,30,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
How many citations does the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' have?,0,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the citation count of 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' have?,0,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
How many influential citations does the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' have?,0,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
Is the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel' open access?,Yes,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the open access PDF URL of the paper titled 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,https://www.mdpi.com/2075-4701/13/8/1496/pdf?version=1692605146,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What are the fields of study for the paper titled 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,No fields of study available,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the journal name for the paper titled 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,Metals,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
Who are the authors of the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,"Linfa Xiao, Heng Lin, Yongxiang Wang, Yiming Yang, Huapeng Chen","##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
What is the TLDR summary of the paper 'Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel'?,TLDR not found,"##Author: Yiming Yang, ##Title: Numerical Investigation of Fatigue Crack Propagation Behaviour of 550E High-Performance Steel"
