Question,Answer,Notes
What is the author ID of Taylor Berg-Kirkpatrick?,1400419309,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the H-index of Taylor Berg-Kirkpatrick?,36,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,Taylor Berg-Kirkpatrick,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the semantic scholar author name of Taylor Berg-Kirkpatrick?,https://www.semanticscholar.org/author/1400419309,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the affiliation of Taylor Berg-Kirkpatrick?,"LTI (CMU), No other affiliations",##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the paper ID of the paper Jointly modeling products and resource pages for task-oriented recommendation?,1f1a09e59dbd178aa0988ea8f96e780e36923c8a,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What are the external IDs of the paper Jointly modeling products and resource pages for task-oriented recommendation?,"{'DBLP': 'conf/www/DuncanKBM23', 'DOI': '10.1145/3543873.3584642', 'CorpusId': 258377526}",##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the URL of the paper Jointly modeling products and resource pages for task-oriented recommendation?,https://www.semanticscholar.org/paper/1f1a09e59dbd178aa0988ea8f96e780e36923c8a,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the abstract of the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,"Modeling high-level user intent in recommender systems can improve performance, although it is often difficult to obtain a ground truth measure of this intent. In this paper, we investigate a novel way to obtain such an intent signal by leveraging resource pages associated with a particular task. We jointly model product interactions and resource page interactions to create a system which can recommend both products and resource pages to users. Our experiments consider the domain of home improvement product recommendation, where resource pages are DIY (do-it-yourself) project pages from Lowes.com. Each DIY page provides a list of tools, materials, and step-by-step instructions to complete a DIY project, such as building a deck, installing cabinets, and fixing a leaking pipe. We use this data as an indicator of the intended project, which is a natural high-level intent signal for home improvement shoppers. We then extend a state-of-the-art system to incorporate this new intent data, and show a significant improvement in the ability of the system to recommend products. We further demonstrate that our system can be used to successfully recommend DIY project pages to users. We have taken initial steps towards deploying our method for project recommendation in production on the Lowe’s website and for recommendations through marketing emails.",##Title: Jointly modeling products and resource pages for task-oriented recommendation
In which venue was the paper 'Jointly modeling products and resource pages for task-oriented recommendation' published?,The Web Conference,##Title: Jointly modeling products and resource pages for task-oriented recommendation
In what year was the paper 'Jointly modeling products and resource pages for task-oriented recommendation' published?,2023,##Title: Jointly modeling products and resource pages for task-oriented recommendation
How many references are in the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,17,##Title: Jointly modeling products and resource pages for task-oriented recommendation
How many citations does the paper 'Jointly modeling products and resource pages for task-oriented recommendation' have?,0,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the citation count of 'Jointly modeling products and resource pages for task-oriented recommendation' have?,0,##Title: Jointly modeling products and resource pages for task-oriented recommendation
How many influential citations does the paper 'Jointly modeling products and resource pages for task-oriented recommendation' have?,0,##Title: Jointly modeling products and resource pages for task-oriented recommendation
Is the paper 'Jointly modeling products and resource pages for task-oriented recommendation' open access?,Yes,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the open access PDF URL of the paper titled 'Jointly modeling products and resource pages for task-oriented recommendation'?,https://dl.acm.org/doi/pdf/10.1145/3543873.3584642,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What are the fields of study for the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,Computer Science,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the journal name for the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,Companion Proceedings of the ACM Web Conference 2023,##Title: Jointly modeling products and resource pages for task-oriented recommendation
Who are the authors of the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,"B. Duncan, S. Kallumadi, Taylor Berg-Kirkpatrick, Julian McAuley",##Title: Jointly modeling products and resource pages for task-oriented recommendation
Who is the first author of the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,B. Duncan,##Title: Jointly modeling products and resource pages for task-oriented recommendation
What is the TLDR summary of the paper 'Jointly modeling products and resource pages for task-oriented recommendation'?,"This paper jointly model product interactions and resource page interactions to create a system which can recommend both products and resource pages to users, and extends a state-of-the-art system to incorporate this new intent data, and shows a significant improvement in the ability of the system to recommend products.",##Title: Jointly modeling products and resource pages for task-oriented recommendation
