Question,Answer,Notes
What is the author ID of Shinji Watanabe?,1746678,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the H-index of Shinji Watanabe?,67,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the semantic scholar url of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations",##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the paper ID of the paper Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study?,3b93dd5f2d2512a4b58f6c776af59f74a90764a5,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What are the external IDs of the paper Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study?,"{'ArXiv': '2301.09099', 'DBLP': 'journals/corr/abs-2301-09099', 'DOI': '10.48550/arXiv.2301.09099', 'CorpusId': 256105724}",##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the URL of the paper Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study?,https://www.semanticscholar.org/paper/3b93dd5f2d2512a4b58f6c776af59f74a90764a5,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the abstract of the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,.,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
In which venue was the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' published?,arXiv.org,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
In what year was the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' published?,2023,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
How many references are in the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,31,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
How many citations does the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' have?,6,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the citation count of 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' have?,6,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
How many influential citations does the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' have?,1,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
Is the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study' open access?,Yes,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the open access PDF URL of the paper titled 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,http://arxiv.org/pdf/2301.09099,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What are the fields of study for the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,"Computer Science, Engineering",##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the journal name for the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,"ArXiv, volume: abs/2301.09099; ArXiv",##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
Who are the authors of the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,"Massa Baali, Tomoki Hayashi, Hamdy Mubarak, Soumi Maiti, Shinji Watanabe, W. El-Hajj, Ahmed Ali",##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
Who is the first author of the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,Massa Baali,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
What is the TLDR summary of the paper 'Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study'?,,##Title: Unsupervised Data Selection for TTS: Using Arabic Broadcast News as a Case Study
