Question,Answer,Notes
What is the author ID of Emma Strubell?,2268272,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
What is the H-index of Emma Strubell?,17,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
What is the semantic scholar author name of Emma Strubell?,Emma Strubell,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
What is the semantic scholar author name of Emma Strubell?,https://www.semanticscholar.org/author/2268272,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
What is the affiliation of Emma Strubell?,"LTI (CMU), No other affiliations","##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
"What is the paper ID of the paper To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing?",1433b8d43d446fcc7f3e1370b22f744a4dd7c8e4,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
"What are the external IDs of the paper To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing?","{'DBLP': 'conf/emnlp/GururajaBNWS23', 'ArXiv': '2310.07715', 'DOI': '10.48550/arXiv.2310.07715', 'CorpusId': 263834772}","##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
"What is the URL of the paper To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing?",https://www.semanticscholar.org/paper/1433b8d43d446fcc7f3e1370b22f744a4dd7c8e4,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
"What is the abstract of the paper 'To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing'?","NLP is in a period of disruptive change that is impacting our methodologies, funding sources, and public perception. In this work, we seek to understand how to shape our future by better understanding our past. We study factors that shape NLP as a field, including culture, incentives, and infrastructure by conducting long-form interviews with 26 NLP researchers of varying seniority, research area, institution, and social identity. Our interviewees identify cyclical patterns in the field, as well as new shifts without historical parallel, including changes in benchmark culture and software infrastructure. We complement this discussion with quantitative analysis of citation, authorship, and language use in the ACL Anthology over time. We conclude by discussing shared visions, concerns, and hopes for the future of NLP. We hope that this study of our field's past and present can prompt informed discussion of our community's implicit norms and more deliberate action to consciously shape the future.","##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
"In which venue was the paper 'To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing' published?",Conference on Empirical Methods in Natural Language Processing,"##Title: To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing"
