Question,Answer,Notes
What is the name of this paper?,Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the author ID of Yiming Yang?,46286308,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the H-index of Yiming Yang?,17,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/46286308,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the paper ID of the paper Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT?,1804dc14b1cf7bbae96bf3215997e9f14425d622,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What are the external IDs of the paper Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT?,"{'ArXiv': '2304.11872', 'DBLP': 'journals/corr/abs-2304-11872', 'DOI': '10.48550/arXiv.2304.11872', 'CorpusId': 258297998}","##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the URL of the paper Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT?,https://www.semanticscholar.org/paper/1804dc14b1cf7bbae96bf3215997e9f14425d622,"##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
What is the abstract of the paper 'Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT'?,"Moreover, GPT-based zero-shot classification models tend to make independent predictions over test instances, which can be sub-optimal as the instance correlations and the decision boundaries in the target space are ignored. To address these difficulties and limitations, we propose a new approach to zero-shot text classification, namely \ourmodelshort, which leverages the strong generative power of GPT to assist in training a smaller, more adaptable, and efficient sentence encoder classifier with contrastive self-training. Specifically, GenCo applies GPT in two ways: firstly, it generates multiple augmented texts for each input instance to enhance the semantic embedding of the instance and improve the mapping to relevant labels; secondly, it generates augmented texts conditioned on the predicted label during self-training, which makes the generative process tailored to the decision boundaries in the target space. In our experiments, GenCo outperforms previous state-of-the-art methods on multiple benchmark datasets, even when only limited in-domain text data is available.","##Author: Yiming Yang, ##Title: Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-tuned GPT"
