Question,Answer,Document,Notes
What is the author ID of Alon Lavie?,1784914,data/paper_jsons/A. Lavie_1784914.json,
What are the papers of Alon Lavie?,"The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics, Towards Multilingual Automatic Dialogue Evaluation, Results of WMT23 Metrics Shared Task: Metrics Might Be Guilty but References Are Not Innocent, Appropriateness is all you need!, Towards Multilingual Automatic Open-Domain Dialogue Evaluation, Simple LLM Prompting is State-of-the-Art for Robust and Multilingual Dialogue Evaluation",data/paper_jsons/A. Lavie_1784914.json,
What is the H-index of Alon Lavie?,47,data/paper_jsons/A. Lavie_1784914.json,
What is the author citation count of Alon Lavie?,14491,data/paper_jsons/A. Lavie_1784914.json,
What journals has Alon Lavie published in?,ArXiv,data/paper_jsons/A. Lavie_1784914.json,
What are the journals and how many papers has Alon Lavie published in each?,{'ArXiv': 3},data/paper_jsons/A. Lavie_1784914.json,
What are the fields of study of Alon Lavie?,Computer Science,data/paper_jsons/A. Lavie_1784914.json,
How many papers has Alon Lavie published in open access journals?,6,data/paper_jsons/A. Lavie_1784914.json,
What venues has Alon Lavie published in?,"Annual Meeting of the Association for Computational Linguistics, arXiv.org, Conference on Machine Translation, SIGDIAL Conferences, DSTC",data/paper_jsons/A. Lavie_1784914.json,
What is the most cited paper from Alon Lavie?,The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics,data/paper_jsons/A. Lavie_1784914.json,
What is the url of the most cited paper from Alon Lavie?,http://arxiv.org/pdf/2305.11806,data/paper_jsons/A. Lavie_1784914.json,
"What journal was the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" published in?",,data/paper_jsons/A. Lavie_1784914.json,
"What venue was the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" published in?",SIGDIAL Conferences,data/paper_jsons/A. Lavie_1784914.json,
"How many citations does the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation"" have?",0,data/paper_jsons/A. Lavie_1784914.json,
"Who are the authors of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?","John Mendonça, A. Lavie, I. Trancoso",data/paper_jsons/A. Lavie_1784914.json,
"Who is the first author of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?",John Mendonça,data/paper_jsons/A. Lavie_1784914.json,
"What is the paper ID of the paper ""Towards Multilingual Automatic Open-Domain Dialogue Evaluation""?",9e8f125ef479af7e95ee5b8949b24e750c7df367,data/paper_jsons/A. Lavie_1784914.json,
What paper has the paper ID 9e8f125ef479af7e95ee5b8949b24e750c7df367?,Towards Multilingual Automatic Open-Domain Dialogue Evaluation,data/paper_jsons/A. Lavie_1784914.json,
"What journal was the paper ""Appropriateness is all you need!"" published in?",ArXiv,data/paper_jsons/A. Lavie_1784914.json,
"What venue was the paper ""Appropriateness is all you need!"" published in?",arXiv.org,data/paper_jsons/A. Lavie_1784914.json,
"How many citations does the paper ""Appropriateness is all you need!"" have?",1,data/paper_jsons/A. Lavie_1784914.json,
"Who are the authors of the paper ""Appropriateness is all you need!""?","Hendrik Kempt, A. Lavie, S. Nagel",data/paper_jsons/A. Lavie_1784914.json,
"Who is the first author of the paper ""Appropriateness is all you need!""?",Hendrik Kempt,data/paper_jsons/A. Lavie_1784914.json,
"What is the paper ID of the paper ""Appropriateness is all you need!""?",9364720b2ab9ac67bc08e2b0b49aadded3d4e2e5,data/paper_jsons/A. Lavie_1784914.json,
What paper has the paper ID 9364720b2ab9ac67bc08e2b0b49aadded3d4e2e5?,Appropriateness is all you need!,data/paper_jsons/A. Lavie_1784914.json,
"What journal was the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics"" published in?",,data/paper_jsons/A. Lavie_1784914.json,
"What venue was the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics"" published in?",Annual Meeting of the Association for Computational Linguistics,data/paper_jsons/A. Lavie_1784914.json,
"How many citations does the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics"" have?",8,data/paper_jsons/A. Lavie_1784914.json,
"Who are the authors of the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics""?","Ricardo Rei, Nuno M. Guerreiro, Marcos Vinícius Treviso, Luísa Coheur, A. Lavie, André Martins",data/paper_jsons/A. Lavie_1784914.json,
"Who is the first author of the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics""?",Ricardo Rei,data/paper_jsons/A. Lavie_1784914.json,
"What is the paper ID of the paper ""The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics""?",10127fa44054eb985ede206113b96aac3a96fd80,data/paper_jsons/A. Lavie_1784914.json,
What paper has the paper ID 10127fa44054eb985ede206113b96aac3a96fd80?,The Inside Story: Towards Better Understanding of Machine Translation Neural Evaluation Metrics,data/paper_jsons/A. Lavie_1784914.json,
