Question,Answer,Notes
What is the author ID of Yiming Yang?,35729970,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the H-index of Yiming Yang?,64,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the semantic scholar author name of Yiming Yang?,Yiming Yang,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the semantic scholar author name of Yiming Yang?,https://www.semanticscholar.org/author/35729970,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the affiliation of Yiming Yang?,"LTI (CMU), No other affiliations",##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the paper ID of the paper Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease?,5921cc9349dfc43acfefbddc4c9b81a4b6a0b1f9,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What are the external IDs of the paper Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease?,"{'PubMedCentral': '10219594', 'DOI': '10.1126/sciadv.ade0293', 'CorpusId': 258928759, 'PubMed': '37235655'}",##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the URL of the paper Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease?,https://www.semanticscholar.org/paper/5921cc9349dfc43acfefbddc4c9b81a4b6a0b1f9,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the abstract of the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease'?,"Innovative therapeutic strategies are urgently needed for Alzheimer’s disease (AD) due to the increasing size of the aging population and the lack of effective drug treatment. Here, we report the therapeutic effects of extracellular vesicles (EVs) secreted by microglia, including macrosomes and small EVs, on AD-associated pathology. Macrosomes strongly inhibited β-amyloid (Aβ) aggregation and rescued cells from Aβ misfolding–induced cytotoxicity. Furthermore, macrosome administration reduced Aβ plaques and ameliorated cognitive impairment in mice with AD. In contrast, small EVs slightly promoted Aβ aggregation and did not improve AD pathology. Proteomic analysis of small EVs and macrosomes revealed that macrosomes harbor several important neuroprotective proteins that inhibit Aβ misfolding. In particular, the small integral membrane protein 10–like protein 2B in macrosomes has been shown to inhibit Aβ aggregation. Our observations provide an alternative therapeutic strategy for the treatment of AD over conventional ineffective drug treatments.",##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
In which venue was the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' published?,Science Advances,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
In what year was the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' published?,2023,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
How many references are in the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease'?,64,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
How many citations does the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' have?,2,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the citation count of 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' have?,2,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
How many influential citations does the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' have?,0,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
Is the paper 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease' open access?,Yes,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
What is the open access PDF URL of the paper titled 'Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease'?,https://www.science.org/doi/pdf/10.1126/sciadv.ade0293?download=true,##Title: Secreted endogenous macrosomes reduce Aβ burden and ameliorate Alzheimer’s disease
